Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2000 5.1 12.9 9.4 16.8 3.6 -5.5 -3.7 5.3 9.9 9.7 22.4 7.7   
2001 8.4 11.9 6.7 0.3 -9.0 1.8 -3.7 -8.2 1.4 -1.9 7.2 -9.1   
2002 2.7 7.7 -5.2 -3.8 -14.5 -6.3 -7.6 -14.6 -8.2 -7.4 -6.0 -10.6  
2003 -2.0 -7.4 -6.8 -5.5 -7.4 -12.0 2.9 -1.8 -2.2 -1.9 -3.4 9.3   
2004 -11.6 9.1 0.2 -15.4 13.1 -15.2 -6.9 -7.6 -2.8 -3.7 -8.6 -8.0   
2005 1.8 -28.6 0.2 -11.2 -14.5 2.6 0.9 -6.9 3.9 10.9 -2.0 0.1   
2006 12.7 0.1 13.8 14.4 -9.8 -6.3 -7.6 -15.9 -5.8 -16.0 -1.4 -3.5   
2007 -7.8 -2.7 -1.4 -3.0 -2.7 5.0 -5.0 2.7 1.4 5.4 9.2 14.4   
2008 14.1 21.3 12.2 4.5 -3.5 4.2 2.2 9.1 13.5 13.4 17.1 13.3   
2009 9.4 14.8 0.2 8.6 -7.4 -2.3 1.6 -5.0 3.9 -14.7 -6.0 -7.0   
2010 -10.1 -14.5 -10.6 15.2 10.0 1.8 20.5 18.8 24.9 18.3 16.4 27.1   
2011 19.9 22.3 21.4 25.1 2.1 0.2 10.7 2.1 11.7 7.3 13.8 23.0   
2012 9.4 2.5 2.9 -7.1 -2.7 -10.4 -1.7 -5.0 2.6 2.4 3.9 -6.0   
2013 -1.1 -3.6 10.5 0.3 8.4 13.9 8.1 -0.5 3.9 -1.9 9.2 0.6   
2014 12.2 -1.3 -13.3 8.6 4.4 -1.5 -3.0 -11.4 -7.6 -8.0 -10.0 -5.5   
2015 -7.8 0.6 -11.2 -3.8 -13.7 -12.0 -14.7 -19.8 -17.8 -20.2 -5.3 -9.1   
2016 -19.7 -19.7 -4.7 -22.0 2.8 5.8 4.2 5.3 13.5 -4.3 -0.7 2.6   
2017 1.3 -2.2 5.1 -6.3 0.5 -10.4 8.1 3.3 6.9 9.1 11.8 -1.4   
2018 8.9 -6.0 10.5 4.5 2.1 -5.5 1.6 -6.9 -10.0 3.0 -0.1 9.3   
2019 -0.6 -13.5                                                                                  
